type,item_id,name_in_database,path,ja
CompositionData,0x0100006500006BA1,HODComposition_Abolished,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100006500007241,HODComposition_Default,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100006500007241,HODComposition_Default,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x01000065000071FF,HODComposition_RNCWins,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x01000065000071FF,HODComposition_RNCWins,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x010000650000720A,HODComposition_RPPWins,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x010000650000720A,HODComposition_RPPWins,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x0100009A00000818,JudiciaryComposition_Default,CompositionProperties.CompositionGroups[0].GroupName,派閥
CompositionData,0x0100009A0000081E,JudiciaryComposition_ExperiencedJustice,CompositionProperties.CompositionGroups[0].GroupName,派閥
CompositionData,0x0100009A00000824,JudiciaryComposition_LoyalJustice,CompositionProperties.CompositionGroups[0].GroupName,派閥
CompositionData,0x0100009A0000082A,JudiciaryComposition_OldGuardReplaced,CompositionProperties.CompositionGroups[0].GroupName,派閥
CompositionData,0x0100009A00000830,JudiciaryComposition_Shuffled,CompositionProperties.CompositionGroups[0].GroupName,派閥
CompositionData,0x0100009A00000A69,LegislativeComposition_Conservative,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100009A00000A69,LegislativeComposition_Conservative,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x0100009A00000A55,LegislativeComposition_Default,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100009A00000A55,LegislativeComposition_Default,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x0100009A00000A64,LegislativeComposition_Liberal,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100009A00000A64,LegislativeComposition_Liberal,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x0100009A00000A5A,LegislativeComposition_Socialist,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100009A00000A5A,LegislativeComposition_Socialist,CompositionProperties.CompositionGroups[1].GroupName,野党
CompositionData,0x0100009A00000A5F,LegislativeComposition_Ultranationalist,CompositionProperties.CompositionGroups[0].GroupName,与党
CompositionData,0x0100009A00000A5F,LegislativeComposition_Ultranationalist,CompositionProperties.CompositionGroups[1].GroupName,野党
