articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x010000520000310C,296,3,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,私とヴィナが評議会の部屋に入ると、他の評議員たちが既にそこにいて、熱心に話し合っているのが見えた。
0x0100005200003119,296,7,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,私が評議会の部屋に入ると、他の評議員たちがすでにそこにいて、熱心に話し合っているのが見えた。
0x0100005200003120,296,8,Rizia/Turn 2/FPnT_DiplomacyBriefing,Lucita Azaro,en,「大陸のこの地域に突然超大国が関心を示し始めたとは――これからどうなるのでしょうか？我々の子供たちは皆、アルカシア語を学ばなければならないのでしょうか？」
0x0100005200003128,296,9,Rizia/Turn 2/FPnT_DiplomacyBriefing,Laurento Esquibel,en,「その決定はリジアに対する悪意から下されたものではありません。南メルコパのこの一角で起きていることよりも、もっと大きな世界的勢力が働いているのです。」
0x010000520000312F,296,10,Rizia/Turn 2/FPnT_DiplomacyBriefing,Hugo Toras,en,「エスキベルさん、超大国たちが下す決定は我々にも影響を及ぼします。彼らの意図など重要ではありません。」
0x0100005200003136,296,11,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「私がいない間に会議を始めたのか？」
0x010000520000313D,296,12,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「私の近況をお聞きになるか？」
0x0100005200003144,296,13,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「静かにしろ！」
0x010000520000314C,296,14,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,三人とも静まり返った。ラウレントは少し驚いた様子で私を見つめていた。
0x0100005200003153,296,15,Rizia/Turn 2/FPnT_DiplomacyBriefing,Laurento Esquibel,en,「陛下、失礼いたします。」
0x010000520000315A,296,16,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,その三人は私に気づくと、言葉を止めてしまった。
0x0100005200003163,296,17,Rizia/Turn 2/FPnT_DiplomacyBriefing,Laurento Esquibel,en,「我々はちょうど、アルカシア条約機構へのレスピアの加盟に関する最近のニュースについて話し合っていました。」
0x0100005200003171,296,18,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「私もアザロ女公爵の意見に賛成だ。我々は非常に警戒すべきだ。」
0x0100005200003178,296,19,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「エスキベル氏の意見に同意する。心配することは何もない。」
0x010000520000318D,296,20,Rizia/Turn 2/FPnT_DiplomacyBriefing,Laurento Esquibel,en,「陛下、なぜそのようにお考えになるのでしょうか？」
0x0100005200003194,296,21,Rizia/Turn 2/FPnT_DiplomacyBriefing,Hugo Toras,en,「どうしてそのように確信されているのか、お尋ねしてもよろしいでしょうか？」
0x010000520000319B,296,22,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「アルカシアの後ろ盾がある限り、レスピアは必ずパレスに対する支配を強化していくだろう。」
0x01000052000031A2,296,23,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「アルカシアは常に不安定を招く傾向がある。再び反乱が起きるわけにはいかない。」
0x01000052000031A9,296,24,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「レスピアとアルカシアは10年間にわたり密接な関係にあった。これでその相手が明らかになったのだ。」
0x01000052000031B0,296,25,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「南部メルコパが超大国の影響下に落ちることを許してはならない。我々自身が*独自の*超大国であるべきだ。」
0x01000052000031B7,296,26,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「ルンブルクを同盟者としている限り、超大国たちは我々に手を出すことはないだろう。」
0x01000052000031BE,296,27,Rizia/Turn 2/FPnT_DiplomacyBriefing,Player_Romus,en,「レスピアはあまり傲慢になれないだろう。ヴァルグスランドやコンタナ条約機構が彼らを抑えている限り、そんなことはできない。」
0x01000052000031C5,296,28,Rizia/Turn 2/FPnT_DiplomacyBriefing,Laurento Esquibel,en,「我々がこれほど分裂している状況では、それは実に野心的な目標ですね。」
0x01000052000031CC,296,29,Rizia/Turn 2/FPnT_DiplomacyBriefing,Lucita Azaro,en,「それは間違いなく、我々が両国と築き上げた不安定な平和を脅かすことになるでしょう。」
0x01000052000031D3,296,30,Rizia/Turn 2/FPnT_DiplomacyBriefing,Lucita Azaro,en,「アトーが混乱を招かずに拡大した例は、ほとんどありません。」
0x01000052000032D8,296,31,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,私の外交会議が開かれる日がやってきて、その日はとても暑い日だった。
0x01000052000032DF,296,32,Rizia/Turn 2/FPnT_DiplomacyBriefing,Narrator,en,私はしばらくあたりを散策した後、庭の中央に戻った。そこには一連の石造りの彫刻があり、その周囲をリジア人のヤシや多肉植物が取り巻いていた。
