articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x010000000001EF3C,62,3,Sordland/Turn05/SnO_MilitaryBudget,Narrator,en,ペトル、ヴァルケン、そしてヨセフは席に着いていた。
0x010000000001F533,62,5,Sordland/Turn05/SnO_MilitaryBudget,Narrator,en,ホルソードというコンクリートのジャングルに太陽が沈む中、会議は終了した。
0x010000000001F543,62,6,Sordland/Turn05/SnO_MilitaryBudget,Petr Vectern,en,「軍事費の予算をそのまま維持すれば、大統領閣下が懸念されることになると我々は理解しておりました。」
0x0100000000020BC2,62,7,Sordland/Turn05/SnO_MilitaryBudget,Player,en,「ヨセフさん、ヴァルケンさん、お二人と共に働けることは光栄だ。あなた方はソードランドの真の息子たちであり、これまでもそして今も献身的に仕え続けてくださっている。」
0x0100000000020BC2,62,7,Sordland/Turn05/SnO_MilitaryBudget,Player,Menu Text en,「ヨセフさん、ヴァルケンさん、お二人と共に働けることは光栄だ。あなた方はソードランドの真の息子たちであり、これまでもそして今も献身的に仕え続けてくださっている。」
0x0100000000020C09,62,17,Sordland/Turn05/SnO_MilitaryBudget,Player,en,「我々政権にとって軍事は最優先事項であり、それを高く評価するソードランドの国民も同様だ。」
0x0100000000020C09,62,17,Sordland/Turn05/SnO_MilitaryBudget,Player,Menu Text en,「我々政権にとって軍事は最優先事項であり、それを高く評価するソードランドの国民も同様だ。」
0x0100000000020C18,62,18,Sordland/Turn05/SnO_MilitaryBudget,Narrator,en,彼は咳払いをした。
0x0100000000020C5A,62,27,Sordland/Turn05/SnO_MilitaryBudget,Valken Kruger,en,「戦争や衝突が訪れた時こそ、その真実に気づくのです。」
0x0100000000020C60,62,28,Sordland/Turn05/SnO_MilitaryBudget,Iosef Lancea,en,「国防省としては、追加の資金が割り当てられないことに失望しております。」
0x0100000000020C69,62,29,Sordland/Turn05/SnO_MilitaryBudget,Valken Kruger,en,「我々はもっと高い成果を期待していました。」
0x0100000000020C75,62,30,Sordland/Turn05/SnO_MilitaryBudget,Iosef Lancea,en,「国防省が軍事予算の削減に激怒していると言っても、それは控えめな表現に過ぎません。」
0x0100000000020C7B,62,31,Sordland/Turn05/SnO_MilitaryBudget,Valken Kruger,en,「その通りです。」
0x0100000000020C81,62,32,Sordland/Turn05/SnO_MilitaryBudget,Petr Vectern,en,「割り当てられた資金が我々の防衛上のニーズを満たす手助けとなることを願っています。」
0x0100000000020C87,62,33,Sordland/Turn05/SnO_MilitaryBudget,Iosef Lancea,en,「国防省としては、追加された資金で十分です。」
0x0100000000020C8D,62,34,Sordland/Turn05/SnO_MilitaryBudget,Player,en,「他の方法で軍隊を支援する用意がある。何らかの合意に達することも可能だろう。」
0x0100000000020C8D,62,34,Sordland/Turn05/SnO_MilitaryBudget,Player,Menu Text en,「他の方法で軍隊を支援する用意がある。何らかの合意に達することも可能だろう。」
0x0100000000020C93,62,35,Sordland/Turn05/SnO_MilitaryBudget,Player,en,「他の分野により多くの資源が必要だった。軍隊には常に十分な資金が割かれてきた。」
0x0100000000020C93,62,35,Sordland/Turn05/SnO_MilitaryBudget,Player,Menu Text en,「他の分野により多くの資源が必要だった。軍隊には常に十分な資金が割かれてきた。」
0x0100000000020C99,62,36,Sordland/Turn05/SnO_MilitaryBudget,Player,en,「資源を割り当てることができなかったのは残念だ。しかし、決定はすでに下されている。」
